product_id,sku,product_name,description,category,brand,price,weight,in_stock,is_active,created_at
41d0588a-e563-4ac6-a76c-08ddd0e1b6f7,6045349625167,Multi-layered analyzing service-desk,Grow should possible ball one reason. Continue deep thus consider meeting enter.,Pet Supplies,"Colon, Robinson and Smith",94.25,15.95,379,true,2025-01-06T11:14:40.620Z
cdb603b7-bef0-4bc4-bc47-ab275ec8fc4f,4829825186982,Decentralized modular database,Minute personal about reality of under occur knowledge. Likely blood sound soon oil want big. Look through become property.,Pet Supplies,Rodriguez-Armstrong,279.56,4.17,271,true,2025-02-03T05:11:19.659Z
516da2fa-16f8-4b59-a38c-e080c44e8a5d,2231355075087,Persistent fault-tolerant encryption,Campaign open explain dog. Treatment chair difficult fill learn. Part prove nothing their PM.,Electronics,"Henson, Morales and Mcgrath",498.94,19.92,70,true,2025-01-30T07:57:37.971Z
e0907d37-e9c2-4728-a898-8fe4eacb7184,6002924161922,Total uniform collaboration,Situation better admit decide couple power letter. Cause executive rate its both himself.,Jewelry,Massey-Ware,462.47,10.21,879,true,2025-01-20T07:23:36.391Z
a5bf4b23-6b93-47c5-87cb-d6a8f78929e4,6389503173829,Balanced 4thgeneration middleware,May factor western half represent white. Speak set strong ever.,Movies,"Campbell, Johnson and Farmer",219.3,8.95,468,true,2025-01-03T10:39:33.034Z
128b1718-dc7c-4e09-8937-464a4d6ea6b5,4968202402359,Triple-buffered composite service-desk,Western investment product young reveal growth. Common since out first second staff.,Food & Beverages,"Banks, Avery and Joyce",139.24,19.89,135,false,2025-01-03T04:52:53.258Z
8928d47a-ffdf-4d1f-8c0e-269450b82d7f,8526500071620,Progressive systemic function,Front newspaper himself animal trouble real some opportunity. Idea wish dog after space friend statement. We during should interest able share.,Jewelry,"White, Wallace and Rios",118.43,2.03,185,false,2025-01-09T20:37:04.268Z
9d41e76d-f758-4c41-8e84-08682f92adc5,0538179007594,Re-contextualized mission-critical algorithm,Similar apply fear.,Cosmetics,Adams-Gordon,53.98,3.45,749,true,2025-01-16T22:15:35.800Z
ea870918-2aff-4479-8378-cd4e0b77a946,6835182172535,Business-focused fault-tolerant protocol,Born bag artist technology later. Citizen peace once black here population board.,Sports,Swanson LLC,308.27,19.32,340,true,2025-02-04T00:39:46.094Z
204f4fdd-8544-4660-8d24-d5385e400ac9,3224281802079,Programmable modular solution,Agree experience policy democratic. Thus pass agree option thought believe have allow.,Food & Beverages,"Blankenship, Jones and Patterson",196.66,7.49,313,true,2025-01-05T21:05:34.651Z
86d484bb-9be9-4ff1-b0f1-48048b1d1b84,2914861762329,Devolved global capability,Nice father throughout perform develop easy consider. Range soldier billion expert field surface. Again special camera executive turn.,Cosmetics,Chavez Ltd,74.95,15.95,928,true,2025-01-25T08:17:08.505Z
12ae9aa2-594e-4a29-8afd-e4690b27a06f,0552622983686,Upgradable secondary approach,Good she easy.,Furniture,Hawkins-Bennett,237.6,1.18,98,true,2025-01-31T18:30:06.752Z
da519936-6429-4eb3-ad4e-678db0d21cb4,6511739932837,Function-based needs-based instruction set,Along out pretty fire article hold hotel.,Clothing,"Mccoy, Levine and Mann",465.0,14.01,173,true,2025-01-02T01:50:23.931Z
7c005c8c-b41d-4010-b153-0e2bab45c0e6,5942880460589,Profit-focused 24hour project,Discussion tough religious determine voice color piece. Call shake treatment wonder here claim.,Art & Crafts,"Evans, Raymond and Rodriguez",239.33,13.69,279,true,2025-01-22T00:43:32.572Z
ac60e780-351e-4368-b853-816b2d16d08c,8911250475642,Persistent mission-critical encoding,Million environmental letter. Until general store.,Sports,"Roberson, Coleman and Owen",25.48,4.34,678,true,2025-01-20T20:54:02.620Z
9bb8bf4e-5953-4a11-bac8-0230d01d5815,7944770470355,Seamless upward-trending software,Much choice contain institution step food become plan. Attention none save senior serious pattern building.,Invalid,Mckenzie LLC,441.62,8.14,194,true,2025-01-16T12:54:16.693Z
ab232fcd-021c-4b70-92b2-d09d89db3942,2010193672456,Total multimedia algorithm,Score necessary minute rule life significant between.,Jewelry,Hartman PLC,487.97,4.49,394,true,2025-01-16T09:10:42.669Z
7b3ebf70-6bf3-4e0b-8c58-77dfe06a729c,3456194506328,Synergistic methodical capacity,Set resource music memory world. Can continue decision decide need. Side interesting become actually. Notice girl design single carry account.,Movies,Robbins and Sons,291.74,13.37,644,false,2025-01-25T11:33:31.466Z
dfd75f40-92aa-4cd7-a9a9-7ba7f086820b,1243563021801,Automated exuding policy,Pay discuss seem will event. Five room add one. Seat term hair successful own number turn.,Electronics,Davis-Perez,191.38,0.4,723,true,2025-02-04T22:17:21.159Z
39686c0a-a57b-47ab-b274-ed3fc730fc61,5650317293494,Front-line clear-thinking throughput,Heavy center how. Stuff look happen blood sea last. Bit major mind establish. Involve woman plant evening.,Invalid,Stanley LLC,291.09,19.55,290,true,2025-01-08T12:55:26.717Z
ad359ca8-03ad-4fff-ac54-4aa6af54b2d6,8524011838862,Expanded composite service-desk,Politics investment stage might herself weight prepare. Among wrong question yeah goal prepare specific. Station once language edge.,Cosmetics,Morris-Crawford,91.1,3.42,75,true,2025-01-16T20:54:22.832Z
2eda8f33-6926-44bd-b877-a8e68a234ec6,8082985927673,Balanced value-added firmware,This think reality town their certainly development character. Listen own character represent.,Furniture,Simpson Inc,361.28,15.37,681,true,2025-01-09T05:08:57.773Z
874b84bb-55db-4da4-b879-7ecd45ac48f1,0506589057706,Quality-focused attitude-oriented archive,For system everything indicate range. Business simply computer before stop.,Pet Supplies,Mcdaniel-Armstrong,282.37,19.3,336,true,2025-01-18T17:46:13.994Z
52d51753-03bc-4d68-bad2-6e85a7dddcb5,5564269909177,Mandatory grid-enabled circuit,Floor treatment care price ground. Risk entire firm word four effort.,Office Supplies,Reese-Brady,152.07,4.94,669,true,2025-01-30T06:04:16.017Z
1b371915-3221-4d23-a893-9543cf4ceb68,1192004381779,Organized tertiary groupware,Mind vote teacher ten game. Then often major during. Example parent describe thought.,Pet Supplies,"Phelps, Conley and Jordan",202.77,7.49,31,true,2025-01-09T03:21:11.131Z
dd3e78e9-c19f-48e5-848f-d8facf4b5506,7063352698373,Programmable didactic infrastructure,Ahead develop continue change finally. American front specific model type write.,Books,Ross-Potts,319.19,2.12,96,false,2025-01-12T07:31:03.688Z
fa847a01-5f8c-4035-9cb4-b3e37c292fcf,2389832703111,Configurable dedicated hierarchy,Ahead past such stage not detail Mr. Anything place continue ready before.,Baby Products,"Powell, Wells and Thomas",278.63,17.95,235,true,2025-02-16T20:46:31.715Z
0a13143b-28b3-46e2-9116-e270c34d800e,8114933437573,Enterprise-wide well-modulated collaboration,Success exactly interest instead change. Radio baby forward live main exist.,Books,Cabrera LLC,306.53,10.52,665,true,2025-01-31T01:27:30.404Z
